Co_Ref,Prospect_Renewal_Date,days_to_renewal,Call_Date,Direction,cc_care_package,cc_care_package_discussed,cc_urgency_getting_on_site,cc_external_consultant,cc_agent_cross_sell_attempt,cc_customer_issues_concerns,cc_business_struggles_financial_hardship,cc_call_initiated_by,cc_questionnaire_completion,cc_chasing_response,cc_issues_within_questionnaire,cc_login_issues,cc_platform_issues,cc_dissatisfaction_time_to_complete,cc_process_complexity_concerns,cc_questions_harder_than_expected,cc_dissatisfaction_support,cc_pricing_mentioned,cc_pricing_sentiment_impact,cc_refund_discussed,cc_contractor_suggest_leave,cc_contractor_complained,Analysed_Call,Call_Year,cc_contractor_sentiment,cc_contractor_sentiment_start_score,cc_contractor_sentiment_end_score,cc_contractor_sentiment_overall_score,cc_contractor_sentiment_issues_score
DL7923,2026-01-21,14.0,2026-01-07,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2026,Neutral,50.0,50.0,85.0,85.0
KI3905,2025-07-14,14.0,2025-06-30,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Neutral,50.0,80.0,80.0,80.0
QR2330,2025-06-22,6.0,2025-06-16,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Neutral,50.0,80.0,80.0,80.0
FW1976,2025-11-09,13.0,2025-10-27,OUT_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Neutral,50.0,80.0,80.0,80.0
YF8601,2025-01-29,12.0,2025-01-17,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,No,No,No,No,No,True,True,False,True,False,1,2025,Neutral,50.0,80.0,65.0,60.0
UT1099,2025-10-17,0.0,2025-10-17,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Satisfied,50.0,90.0,80.0,80.0
TW6873,2025-11-25,0.0,2025-11-25,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Satisfied,50.0,90.0,80.0,80.0
YB6616,2025-10-17,9.0,2025-10-08,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,False,No,No,No,Yes,No,No,True,True,False,True,False,1,2025,Satisfied,20.0,90.0,90.0,90.0
PT2686,2025-06-21,2.0,2025-06-19,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Neutral,50.0,80.0,80.0,85.0
CF4331,2025-05-24,9.0,2025-05-15,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,False,False,True,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
CY2484,2025-11-06,3.0,2025-11-03,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
DX6440,2025-09-25,1.0,2025-09-24,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,No,No,No,No,No,True,False,True,True,False,1,2025,Neutral,50.0,80.0,80.0,80.0
FO0578,2025-07-19,8.0,2025-07-11,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Satisfied,60.0,90.0,90.0,90.0
RO8157,2025-04-19,4.0,2025-04-15,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,No,No,No,True,True,False,True,False,1,2025,Neutral,60.0,70.0,65.0,65.0
JC9791,2025-08-27,6.0,2025-08-21,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,False,True,True,False,1,2025,Neutral,50.0,80.0,80.0,80.0
UV2107,2025-05-30,11.0,2025-05-19,OUT_BOUND,Not Discussed,No,No,No,No,No,Yes,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Neutral,50.0,80.0,70.0,70.0
QA6593,2025-05-28,5.0,2025-05-23,OUT_BOUND,Express,Yes,No,No,No,Yes,No,Agent,No,False,False,No,No,No,No,No,No,True,True,False,True,False,1,2025,Neutral,50.0,80.0,80.0,80.0
RO1346,2025-05-31,2.0,2025-05-29,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,True,False,1,2025,Neutral,50.0,80.0,80.0,80.0
PD6337,2025-12-04,13.0,2025-11-21,OUT_BOUND,Standard,Yes,No,No,No,Yes,Yes,Customer,No,False,False,No,No,No,No,No,No,True,True,True,True,False,1,2025,Neutral,50.0,60.0,55.0,85.0
CM3500,2025-09-11,1.0,2025-09-10,OUT_BOUND,Not Discussed,No,No,No,No,No,Yes,Agent,No,False,False,No,Yes,No,Yes,No,No,True,True,True,True,False,1,2025,Neutral,50.0,80.0,80.0,80.0
DG7832,2025-11-11,4.0,2025-11-07,IN_BOUND,Standard,Yes,Yes,No,No,No,Yes,Customer,Yes,True,False,No,No,No,Yes,No,No,True,True,False,True,False,1,2025,Neutral,50.0,80.0,80.0,80.0
AM7770,2025-02-20,7.0,2025-02-13,OUT_BOUND,Standard,Yes,Yes,No,No,No,Yes,Agent,No,False,False,No,No,No,Yes,No,No,True,True,False,False,False,1,2025,Satisfied,50.0,80.0,80.0,80.0
BV8581,2025-05-19,3.0,2025-05-16,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,Yes,No,No,Yes,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
ZF6956,2025-05-10,2.0,2025-05-08,OUT_BOUND,Not Discussed,Yes,No,No,No,Yes,No,Agent,Yes,False,False,No,No,Yes,Yes,No,No,True,False,False,False,False,1,2025,Satisfied,50.0,90.0,85.0,85.0
VY6021,2025-02-13,6.0,2025-02-07,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,False,No,Yes,No,Yes,No,No,False,False,False,False,False,1,2025,Satisfied,60.0,90.0,90.0,90.0
BW8786,2025-05-06,0.0,2025-05-06,IN_BOUND,Premier,Yes,No,No,No,No,No,Customer,Yes,False,False,No,No,Yes,Yes,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
HJ0205,2025-02-14,11.0,2025-02-03,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,Yes,No,Yes,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
WY9728,2025-10-30,10.0,2025-10-20,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,Yes,False,True,No,No,No,Yes,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
VJ2314,2025-10-26,6.0,2025-10-20,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,Yes,No,No,False,False,False,False,False,1,2025,Satisfied,20.0,90.0,90.0,90.0
RE1749,2025-10-28,4.0,2025-10-24,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,Yes,No,No,True,False,False,False,False,1,2025,Satisfied,80.0,90.0,90.0,90.0
UQ1272,2025-10-23,1.0,2025-10-22,OUT_BOUND,Express,Yes,No,No,No,No,No,Customer,Yes,False,True,No,No,No,Yes,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
JT7808,2024-10-15,1.0,2024-10-14,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,True,No,No,No,Yes,Yes,No,True,False,False,False,False,1,2024,Satisfied,60.0,90.0,90.0,90.0
ST1140,2025-12-03,14.0,2025-11-19,OUT_BOUND,Not Discussed,No,No,No,No,Yes,No,Agent,Yes,False,True,No,No,Yes,Yes,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
TS0672,2025-10-04,4.0,2025-09-30,IN_BOUND,Premier,Yes,Yes,No,No,Yes,Yes,Customer,Yes,False,True,No,No,Yes,Yes,Yes,No,True,True,False,False,False,1,2025,Satisfied,20.0,90.0,90.0,90.0
VO3337,2025-03-26,9.0,2025-03-17,OUT_BOUND,Express,Yes,No,No,No,No,No,Agent,Yes,False,True,No,No,No,Yes,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
WY6015,2025-11-22,5.0,2025-11-17,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,True,No,Yes,Yes,Yes,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,80.0
VX1972,2025-10-15,9.0,2025-10-06,OUT_BOUND,Standard,Yes,No,No,No,Yes,No,Agent,No,False,True,No,No,No,Yes,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,80.0
NP7171,2025-07-12,9.0,2025-07-03,OUT_BOUND,Express,Yes,Yes,No,No,Yes,No,Agent,Yes,False,True,No,No,No,Yes,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,80.0
QB9499,2025-06-24,14.0,2025-06-10,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,Yes,False,False,No,No,Yes,Yes,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
RJ5772,2024-11-18,0.0,2024-11-18,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,Yes,No,No,False,False,False,False,False,1,2024,Neutral,50.0,80.0,70.0,70.0
FG3313,2025-08-24,5.0,2025-08-19,OUT_BOUND,Express,Yes,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,80.0,85.0,85.0
AG7743,2025-12-13,12.0,2025-12-01,OUT_BOUND,Standard,Yes,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,50.0,85.0,85.0
CV4320,2025-09-12,1.0,2025-09-11,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,80.0
IR4956,2025-06-07,9.0,2025-05-29,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
UT6124,2025-02-20,3.0,2025-02-17,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
PX1791,2025-03-08,8.0,2025-02-28,OUT_BOUND,Express,Yes,No,No,No,No,No,Agent,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,50.0,85.0,85.0
GQ8293,2025-09-20,3.0,2025-09-17,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,50.0,85.0,85.0
MX4720,2024-11-20,14.0,2024-11-06,OUT_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2024,Neutral,50.0,70.0,70.0,85.0
JN7343,2025-02-23,10.0,2025-02-13,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,90.0,90.0,90.0
US2501,2025-02-12,9.0,2025-02-03,OUT_BOUND,Standard,Yes,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
DW3667,2025-03-04,5.0,2025-02-27,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,True,No,No,No,No,No,No,True,True,False,False,False,1,2025,Satisfied,50.0,80.0,80.0,80.0
PO9474,2025-05-21,8.0,2025-05-13,IN_BOUND,Express,Yes,No,No,No,No,No,Customer,No,False,False,Yes,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,100.0,100.0,100.0
HR3977,2025-06-11,14.0,2025-05-28,OUT_BOUND,Standard,Yes,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,80.0,80.0,85.0
BV6539,2025-01-29,2.0,2025-01-27,OUT_BOUND,Standard,Yes,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,80.0,100.0,100.0,85.0
YD6501,2025-03-22,5.0,2025-03-17,OUT_BOUND,Standard,Yes,No,No,No,No,No,Agent,No,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,80.0,100.0,90.0,90.0
JP3766,2025-06-27,1.0,2025-06-26,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,80.0,100.0,90.0,90.0
FF6909,2025-06-03,4.0,2025-05-30,OUT_BOUND,Express,Yes,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,85.0
AW8721,2025-04-08,7.0,2025-04-01,IN_BOUND,Premier,Yes,Yes,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
FD2382,2025-06-15,4.0,2025-06-11,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
OC2049,2025-11-05,12.0,2025-10-24,OUT_BOUND,Express,Yes,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,85.0
LR3255,2025-07-14,4.0,2025-07-10,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,False,False,False,False,1,2025,Satisfied,80.0,90.0,85.0,85.0
HD9478,2025-02-05,14.0,2025-01-22,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,80.0,90.0,90.0,90.0
JJ5868,2024-12-04,1.0,2024-12-03,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Not Relevant,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2024,Satisfied,80.0,90.0,90.0,90.0
SG4485,2024-12-23,11.0,2024-12-12,OUT_BOUND,Premier,Yes,Yes,No,No,No,No,Agent,Yes,False,True,No,No,Yes,No,No,No,False,False,False,False,False,1,2024,Satisfied,50.0,90.0,90.0,85.0
UZ4918,2025-02-25,1.0,2025-02-24,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,85.0
EH7382,2025-11-04,12.0,2025-10-23,OUT_BOUND,Express,Yes,No,No,No,No,No,Customer,No,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,85.0
UQ1272,2025-10-23,13.0,2025-10-10,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,85.0
FP2376,2025-04-17,14.0,2025-04-03,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,85.0
NE7164,2025-12-05,4.0,2025-12-01,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,85.0
HI4743,2025-04-18,2.0,2025-04-16,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,85.0
HF1672,2025-08-30,4.0,2025-08-26,OUT_BOUND,Standard,Yes,No,No,No,No,No,Agent,No,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,85.0
YQ1081,2025-06-16,6.0,2025-06-10,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
HM2606,2025-02-04,5.0,2025-01-30,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
TO9039,2025-07-23,9.0,2025-07-14,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
VF7879,2024-12-12,13.0,2024-11-29,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2024,Satisfied,80.0,90.0,85.0,85.0
OF1470,2025-09-08,12.0,2025-08-27,OUT_BOUND,Express,Yes,Yes,No,No,No,No,Agent,No,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,80.0,90.0,85.0,90.0
LJ6881,2025-12-05,8.0,2025-11-27,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,80.0,80.0
LB7488,2025-12-08,0.0,2025-12-08,OUT_BOUND,Standard,Yes,No,No,No,No,No,Agent,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,80.0,80.0
DA0689,2025-02-28,10.0,2025-02-18,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,85.0,85.0
KT8188,2025-08-14,2.0,2025-08-12,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,Yes,No,No,No,No,True,False,False,False,False,1,2025,Satisfied,50.0,90.0,85.0,85.0
FY5640,2025-05-19,11.0,2025-05-08,OUT_BOUND,Standard,Yes,No,No,No,No,No,Agent,Yes,False,True,No,No,No,No,No,No,True,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
CQ1889,2025-07-06,12.0,2025-06-24,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,Yes,Yes,No,No,No,No,True,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
UA6697,2025-07-27,6.0,2025-07-21,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,Yes,False,True,Yes,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
NX6893,2025-09-06,2.0,2025-09-04,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,Yes,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,80.0
FN1212,2025-02-21,2.0,2025-02-19,OUT_BOUND,Express,Yes,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,True,False,False,False,False,1,2025,Satisfied,80.0,90.0,85.0,90.0
IY3236,2025-12-17,9.0,2025-12-08,OUT_BOUND,Express,Yes,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,True,False,False,False,False,1,2025,Satisfied,50.0,90.0,85.0,85.0
QH9010,2025-09-14,10.0,2025-09-04,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,Yes,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,90.0,85.0,85.0
SH3647,2024-11-03,11.0,2024-10-23,OUT_BOUND,Express,Yes,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,True,False,False,False,False,1,2024,Satisfied,50.0,90.0,85.0,90.0
JR1890,2025-11-01,10.0,2025-10-22,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,80.0,90.0,90.0,85.0
IZ6602,2024-10-25,0.0,2024-10-25,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,False,False,False,False,1,2024,Satisfied,50.0,90.0,90.0,90.0
IO3365,2025-02-10,4.0,2025-02-06,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,True,False,False,False,1,2025,Satisfied,50.0,90.0,90.0,90.0
FH7451,2024-12-23,12.0,2024-12-11,OUT_BOUND,Express,Yes,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2024,Neutral,50.0,50.0,85.0,85.0
FY5965,2025-10-22,13.0,2025-10-09,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,True,False,False,False,False,1,2025,Neutral,50.0,50.0,85.0,85.0
SZ3669,2025-06-09,13.0,2025-05-27,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,100.0,85.0,85.0
QX2527,2025-04-24,7.0,2025-04-17,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,80.0,85.0,85.0
FW0890,2025-06-01,5.0,2025-05-27,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,50.0,85.0,85.0
TP8738,2025-09-01,6.0,2025-08-26,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,50.0,85.0,85.0
JW8500,2025-09-02,5.0,2025-08-28,OUT_BOUND,Standard,Yes,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,50.0,85.0,85.0
GX4644,2025-02-27,3.0,2025-02-24,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,True,False,False,False,False,1,2025,Neutral,50.0,80.0,70.0,85.0
ZN8581,2025-04-02,6.0,2025-03-27,OUT_BOUND,Express,Yes,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,True,False,False,False,False,1,2025,Neutral,50.0,80.0,70.0,85.0
YT7456,2025-06-11,0.0,2025-06-11,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,70.0,85.0
QF7854,2025-11-06,8.0,2025-10-29,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,70.0,85.0
ID9357,2024-11-12,0.0,2024-11-12,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2024,Neutral,50.0,80.0,70.0,85.0
VQ5821,2025-11-06,2.0,2025-11-04,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,70.0,85.0
LP3418,2025-05-18,4.0,2025-05-14,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,70.0,85.0
FL4893,2025-09-18,2.0,2025-09-16,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,85.0,85.0
TK3714,2025-09-20,11.0,2025-09-09,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
EG2053,2025-07-08,4.0,2025-07-04,OUT_BOUND,Express,Yes,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
QJ2773,2025-07-06,11.0,2025-06-25,OUT_BOUND,Not Discussed,No,No,No,No,Yes,No,Agent,Yes,False,False,Yes,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
CP1169,2025-10-07,8.0,2025-09-29,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
DN2226,2025-10-09,6.0,2025-10-03,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
TX9436,2025-02-06,1.0,2025-02-05,OUT_BOUND,Not Discussed,Yes,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
IB7676,2025-07-02,13.0,2025-06-19,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
GH5205,2025-02-07,10.0,2025-01-28,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
PO8093,2025-09-02,12.0,2025-08-21,OUT_BOUND,Not Discussed,No,Yes,No,No,No,No,Agent,Yes,False,False,No,No,Yes,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
CF5931,2025-11-27,9.0,2025-11-18,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
CL3209,2025-03-25,6.0,2025-03-19,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
WE7551,2025-06-07,8.0,2025-05-30,OUT_BOUND,Standard,Yes,Yes,No,No,No,No,Customer,Yes,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
BF9589,2025-03-06,10.0,2025-02-24,OUT_BOUND,Standard,Yes,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
MI9950,2025-09-14,5.0,2025-09-09,OUT_BOUND,Express,Yes,No,No,No,No,No,Agent,Yes,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
BU0325,2025-09-30,12.0,2025-09-18,OUT_BOUND,Standard,Yes,Yes,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,True,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
RC8798,2025-02-27,10.0,2025-02-17,OUT_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,False,Yes,No,No,No,No,No,False,False,False,False,False,1,2025,Neutral,50.0,80.0,80.0,85.0
